serial_number,title,category,angle_or_region,status,story_file,FlashCardAdded
72,They used a real charity's name. The money didn't go there.,prizes_charity,,done,donation-scam-used-real-charity-name.json,False
73,I paid the deposit. The flat wasn't for rent.,housing,,done,paid-deposit-flat-wasnt-for-rent.json,False
74,"The ""landlord"" was always ""in another country""",housing,,done,landlord-in-another-country.json,False
75,I paid. The keys never came. The listing was fake.,housing,,done,fake-listing-keys-never-arrived.json,False
76,"My deposit vanished—and so did the ""landlord""",housing,,done,lost-deposit-rental-scam.json,False
77,Wire transfer only. No viewings. I sent the money.,housing,,done,owner-asked-wire-transfer-only.json,False
78,"We showed up. The ""vacation rental"" didn't exist.",housing,,done,vacation-rental-property-didnt-exist.json,False
79,I paid for the room upfront. Someone else was already there.,housing,,done,roommate-scam-paid-upfront-room-taken.json,False
80,"The ""agent"" took my deposit and disappeared",housing,,done,fake-real-estate-agent.json,False
81,The photos were someone else's home. I found out too late.,housing,,done,listing-used-someone-elses-photos.json,False
82,Rent-to-own: I paid for years. The deed never came.,housing,,done,rent-to-own-paid-never-got-deed.json,False
83,"""Pay now or we arrest you."" It wasn't the tax office.",government,,done,irs-hmrc-call-threatened-arrest.json,False
84,"I paid ""back taxes"" to someone who wasn't the IRS",government,,done,i-paid-back-taxes-to-scammer.json,False
85,"My ""grant"" was ready—I just had to pay to unlock it",government,,done,fake-benefit-grant-pay-fee-unlock.json,False
86,"""Your visa is cancelled unless you pay now""",government,,done,visa-cancelled-unless-you-pay.json,False
87,They said they were from Social Security. They weren't.,government,,done,scammers-pretended-social-security.json,False
88,"I got a ""jury duty"" notice. The court had never heard of it.",government,,done,fake-jury-duty-court-fine.json,False
89,They offered a refund. They took more than I had.,government,,done,refund-from-tax-office-took-more.json,False
90,I paid for government forms. They're free.,government,,done,immigration-scam-forms-that-are-free.json,False
91,The letter looked official. Every word was a lie.,government,,done,official-letter-that-wasnt.json,False
92,Accounts I never opened—in my name,identity_benefits,,done,someone-opened-accounts-in-my-name.json,False
93,"After the breach, someone became ""me""",identity_benefits,,done,identity-stolen-after-data-breach.json,False
94,I paid to fix my credit. It got worse.,identity_benefits,,done,fake-credit-fix-made-things-worse.json,False
95,Someone used my identity at the hospital,identity_benefits,,done,medical-identity-theft.json,False
96,A tax return was filed in my name. Not by me.,identity_benefits,,done,someone-filed-tax-return-in-my-name.json,False
97,"The ""benefits advisor"" wanted my NI number. I gave it.",identity_benefits,,done,fake-benefits-advisor-wanted-ni-number.json,False
98,I found out my SSN was being used—by someone else,identity_benefits,,done,found-out-ssn-was-being-misused.json,False
99,"I went to ""verify"" my identity. The site stole it.",identity_benefits,,done,verify-identity-site-stole-it.json,False
100,I ordered a phone. The box was empty.,online,,done,ordered-phone-got-empty-box.json,False
101,The site looked like the real brand. It wasn't.,online,,done,website-looked-like-real-brand.json,False
102,I bought concert tickets. The site was fake. No tickets.,online,,done,lost-money-fake-concert-ticket-site.json,False
103,"I paid for a puppy. The ""breeder"" vanished.",online,,done,puppy-pet-scam-animal-never-came.json,False
104,"The ""designer"" bag was a convincing fake",online,,done,fake-designer-goods-cautionary-tale.json,False
105,The Marketplace deal seemed legit. It wasn't.,online,,done,facebook-marketplace-deal-went-wrong.json,False
106,"Pay outside the app, they said. I did. I lost.",online,,done,seller-asked-payment-outside-app.json,False
107,I thought I was buying a car. I was buying a lesson.,online,,done,thought-buying-car-it-was-scam.json,False
108,I tried to cancel. They made it impossible.,online,,done,subscription-trap-couldnt-cancel.json,False
109,Free trial—then they charged me for a full year,online,,done,free-trial-charged-me-for-year.json,False
110,"I installed ""antivirus."" It was the virus.",online,,done,fake-antivirus-software-was-malware.json,False
111,The deal was too good. The goods were fake.,online,,done,counterfeit-goods-my-story.json,False
112,"A WhatsApp from ""my boss"" cost me thousands",online,,done,whatsapp-message-from-my-boss.json,False
113,"I joined a Telegram ""crypto group."" They drained my wallet.",online,,done,telegram-crypto-group-drained-wallet.json,False
114,One friend request. Real money gone.,online,,done,fake-friend-request-real-loss.json,False
115,A DM promised easy money. Delivered the opposite.,online,,done,dm-promised-easy-money.json,False
116,"""Can you receive this and send it on?"" It wasn't a friend.",online,,done,friend-asked-receive-and-send-money.json,False
117,"An Instagram ""brand deal"" wanted my bank details first",online,,done,instagram-brand-deal-wanted-bank-details.json,False
118,"I ""won"" a Discord giveaway. I lost money.",online,,done,discord-giveaway-was-scam.json,False
119,LinkedIn felt safe. The scam didn't.,online,,done,scammed-via-linkedin.json,False
120,"A new ""friend"" had a sob story. I sent money.",online,,done,facebook-friend-hard-luck-story.json,False
121,"A ""wrong number"" on WhatsApp led to investment fraud",online,,done,whatsapp-wrong-number-investment-fraud.json,False
122,My parent was targeted. Here's what our family learned.,other,,done,how-my-parent-was-targeted.json,False
123,My relative sent gift cards to a stranger. We found out too late.,financial,,done,elderly-relative-sent-gift-cards-stranger.json,False
124,"We almost sent money. The ""grandchild"" was a scammer.",phone,,done,grandchild-in-trouble-call-almost-believed.json,False
125,Older adults and romance scams: what we wish we'd known,impersonation,,done,romance-scam-older-adults-what-we-learned.json,False
126,After the tech support scam: how we got our parent back on track,other,,done,helped-parent-after-tech-support-scam.json,False
127,They said there was an inheritance. There wasn't.,prizes_charity,,done,inheritance-scam-targeting-seniors.json,False
128,"A ""health"" scam targeted my family. Here's what happened.",other,,done,medication-health-scam-targeted-family.json,False
129,"The ""financial advisor"" had a different identity—and my money",financial,,done,financial-advisor-wasnt-who-they-said.json,False
130,"I was scammed. Then someone offered to ""recover"" my money.",financial,,done,scammed-twice-recovery-scam.json,False
131,I reported it. Here's what actually happened next.,other,,done,how-i-reported-it-what-happened-next.json,False
132,What I wish I'd known before I lost a cent,other,,done,what-i-wish-id-known-before-lost-money.json,False
133,Looking back: the red flags I missed,other,,done,signs-i-missed-looking-back-at-scam.json,False
134,I got some of it back. Here's how.,other,,done,how-i-got-part-of-money-back.json,False
135,I report every scam now. Here's why.,other,,done,why-i-report-scams-now.json,False
136,We realised we'd been scammed. This is what we did.,other,,done,what-family-did-after-we-realised-scammed.json,False
137,"A ""recovery agent"" wanted more money. I said no.",financial,,done,lawyer-recovery-agent-wanted-more-money.json,False
138,After the loss: how I put the pieces back together,other,,done,how-i-rebuilt-after-major-loss.json,False
139,What I tell everyone about this scam now,other,,done,what-i-tell-others-about-this-scam.json,False
140,The voice was my relative's. The call wasn't.,emerging,,done,deepfake-ai-voice-scam.json,False
141,I scanned the QR code. It wasn't a payment page—it was a trap.,emerging,,done,qr-code-fake-payment-page.json,False
142,"A ""bot"" talked me into paying. I did.",emerging,,done,ai-bot-convinced-me-to-pay.json,False
143,The app was in the store. It was still fake.,emerging,,done,fake-app-in-store-looked-legitimate.json,False
144,"""Support"" asked for my keys. I handed them over.",financial,,done,crypto-support-took-my-keys.json,False
145,We had video calls. The person was still a scammer.,impersonation,,done,romance-scam-used-video-calls.json,False
146,They used a real company's name. The job was fake.,employment,,done,job-scam-used-real-company-name.json,False
147,They used my own posts to make me trust them,online,,done,scammer-used-my-social-media-against-me.json,False
148,"Verify, verify, verify—the loop never stopped",online,,done,verification-loop-never-ended.json,False
149,The address was real. The landlord wasn't.,housing,,done,rental-scam-real-property-address.json,False
150,"A text said I'd won a ""government grant."" I hadn't.",government,,done,fake-government-grant-via-text.json,False
151,They offered a refund—if I shared my screen. I did.,online,,done,refund-asked-for-screen-share.json,False
152,"I called ""customer support."" The scammer answered.",online,,done,customer-support-was-the-scammer.json,False
153,I scanned the parking QR code. My payment went to a scammer.,emerging,,done,qr-code-parking-meter-paid-wrong-place.json,False
154,"""Update your payment details""—the text wasn't from my bank",phone,,done,update-payment-text-not-from-bank.json,False
